,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country,weighted_vote
88,돌보는 마음,290374506,김유담,민음사,"11,700",17.0,5.0, 2022년 3월,한국,4.84555
89,레이디 맥도날드,291520650,한은형,문학동네,"13,050",6.0,5.0, 2022년 3월,한국,4.602842857142857
90,움푹한,292320642,윤해서,시간의흐름,"13,500",5.0,5.0, 2022년 4월,한국,4.53665
91,내게 무해한 사람,151335169,최은영,문학동네,"12,150",242.0,4.5, 2018년 6월,한국,4.490616872427984
92,므레모사,285549774,김초엽,현대문학,"12,600",43.0,4.5, 2021년 12월,한국,4.448179545454545
93,장미의 이름은 장미,287089545,은희경,문학동네,"13,500",26.0,4.5, 2022년 1월,한국,4.415551851851852
94,날씨가 좋으면 찾아가겠어요,154118491,이도우,시공사,"12,420",119.0,4.5, 2018년 6월,한국,4.480999166666667
95,돌이킬 수 있는,175316311,문목하,아작,"13,320",88.0,4.5, 2018년 12월,한국,4.4743808988764044
96,한국이 싫어서,59713793,장강명,민음사,"11,700",953.0,4.5, 2015년 5월,한국,4.497609958071279
97,"땡스 갓, 잇츠 프라이데이",229634746,심너울,안전가옥,"9,000",38.0,4.0, 2020년 1월,한국,3.9543564102564104
98,은하환담,291119945,곽재식,달다,"13,500",0.0,0.0, 2022년 3월,한국,2.2199
99,유진과 데이브,293275648,서수진,현대문학,"11,700",0.0,0.0, 2022년 4월,한국,2.2199
100,우아한 거짓말,5820877,김려령,창비,"10,800",281.0,4.5, 2009년 11월,한국,4.491914539007093
101,"알로하, 나의 엄마들",236466932,이금이,창비,"13,320",202.0,5.0, 2020년 3월,한국,4.9863049261083745
102,엄마의 말뚝,14944743,박완서,세계사,"14,400",10.0,5.0, 2012년 1월,한국,4.747263636363636
103,브로콜리 펀치,282105147,이유리,문학과지성사,"12,600",21.0,5.0, 2021년 10월,한국,4.873631818181819
104,토지 1,18898138,박경리,마로니에북스,"12,150",61.0,4.5, 2012년 8월,한국,4.463224193548387
105,한국 SF 명예의 전당,292046852,김보영,아작,"22,320",53.0,5.0, 2022년 4월,한국,4.9485166666666665
106,스노볼 1,284272577,박소영,창비,"13,500",35.0,5.0, 2021년 12월,한국,4.922775
107,리시안셔스,291313098,연여름,황금가지,"12,420",9.0,4.5, 2022년 3월,한국,4.27199
108,시간을 파는 상점,290841745,김선영,자음과모음,"11,700",32.0,5.0, 2022년 3월,한국,4.915754545454545
109,왕의 무사 귀인별 1,294042235,이은소,고즈넉이엔티,"13,500",0.0,0.0, 2022년 5월,한국,2.2199
110,왕의 무사 귀인별 2,294042494,이은소,고즈넉이엔티,"13,500",0.0,0.0, 2022년 5월,한국,2.2199
111,보건교사 안은영,251281173,정세랑,민음사,"12,600",95.0,4.5, 2020년 9월,한국,4.476248958333334
112,밤의 여행자들,32250088,윤고은,민음사,"11,700",93.0,4.0, 2013년 10월,한국,3.981062765957447
113,날마다 만우절,274785251,윤성희,문학동네,"12,600",31.0,4.5, 2021년 7월,한국,4.428746875
114,소설 보다 : 여름 2021,273050935,서이제,문학과지성사,"3,150",13.0,4.5, 2021년 6월,한국,4.337135714285715
115,내가 되는 꿈,260212159,최진영,현대문학,"12,600",67.0,5.0, 2021년 2월,한국,4.959116176470588
116,스노볼 2,284273573,박소영,창비,"13,500",27.0,5.0, 2021년 12월,한국,4.900710714285714
117,그들의 이해관계,287840193,임현,문학동네,"12,600",6.0,5.0, 2022년 2월,한국,4.602842857142857
118,"로지나 노, 지나",256807515,이란주,우리학교,"12,600",1.0,5.0, 2020년 11월,한국,3.60995
119,호텔 해운대,286432593,오선영,창비,"12,600",22.0,4.5, 2021년 12월,한국,4.4008652173913045
120,뼈,61638121,정미진,엣눈북스(atnoonbooks),"13,500",13.0,4.5, 2015년 7월,한국,4.337135714285715
121,28,27128005,정유정,은행나무,"13,050",385.0,4.5, 2013년 6월,한국,4.494093005181347
122,비행운,18012102,김애란,문학과지성사,"10,800",231.0,4.5, 2012년 7월,한국,4.49017198275862
123,광장 / 구운몽,52010705,최인훈,문학과지성사,"10,800",16.0,4.5, 2014년 12월,한국,4.365876470588235
124,나의 아름다운 정원,34105347,심윤경,한겨레출판,"9,900",51.0,4.5, 2013년 11월,한국,4.456151923076923
125,옥상에서 만나요,162341344,정세랑,창비,"11,700",171.0,4.5, 2018년 11월,한국,4.486743604651163
126,젊은작가상 수상작품집 10주년 특별판,187789982,편혜영,문학동네,"6,930",27.0,4.0, 2019년 4월,한국,3.936425
127,스노볼 드라이브,264119337,조예은,민음사,"11,700",38.0,4.5, 2021년 2월,한국,4.441535897435897
128,얼마나 닮았는가,253658692,김보영,아작,"13,320",29.0,4.5, 2020년 10월,한국,4.423996666666667
129,곰탕 1,271374258,김영탁,arte(아르테),"13,500",103.0,4.5, 2021년 5월,한국,4.478075961538462
130,아홉살 인생,240121933,위기철,현북스,"10,800",6.0,5.0, 2020년 5월,한국,4.602842857142857
131,별뜨기에 관하여,247906126,이영도,황금가지,"12,420",23.0,4.5, 2020년 10월,한국,4.404995833333333
132,검은 꽃,246811887,김영하,복복서가,"9,900",9.0,4.5, 2020년 7월,한국,4.27199
133,아침을 볼 때마다 당신을 떠올릴 거야,184552740,조수경,한겨레출판,"12,420",15.0,5.0, 2019년 2월,한국,4.82624375
134,여행하는 소설,291245020,장류진,창비교육,"14,400",4.0,5.0, 2022년 3월,한국,4.44398
135,마르타의 일,198322700,박서련,한겨레출판,"12,600",37.0,4.0, 2019년 9월,한국,3.953155263157895
136,얼음나무 숲,235702011,하지은,황금가지,"14,220",24.0,4.5, 2020년 3월,한국,4.408796000000001
137,근로하는 자세,292635998,이태승,은행나무,"12,600",13.0,5.0, 2022년 4월,한국,4.8014214285714285
138,산산조각,292325458,정호승,시공사,"14,400",5.0,4.5, 2022년 4월,한국,4.119983333333334
139,엘리베이터에 낀 그 남자는 어떻게 되었나,246810991,김영하,복복서가,"9,000",9.0,4.0, 2020년 7월,한국,3.82199
140,영의 자리,292508411,고민실,한겨레출판,"12,600",23.0,5.0, 2022년 4월,한국,4.8841625
141,올리브색이 없으면 민트색도 괜찮아,293725598,구한나리,돌베개,"11,700",1.0,5.0, 2022년 5월,한국,3.60995
142,서울에 수호신이 있었을 때,294527535,이수현,새파란상상(파란미디어),"13,500",0.0,0.0, 2022년 5월,한국,2.2199
143,7년의 밤,9886703,정유정,은행나무,"13,050",864.0,4.5, 2011년 3월,한국,4.497364046242774
144,칼의 노래,14628764,김훈,문학동네,"12,600",229.0,4.5, 2012년 1월,한국,4.490086521739131
145,룬의 아이들 - 블러디드 4,270011623,전민희,엘릭시르,"13,050",17.0,5.0, 2021년 4월,한국,4.84555
146,고구려 7,272421636,김진명,이타북스,"14,220",50.0,3.5, 2021년 6월,한국,3.4749
147,너무 한낮의 연애,74920933,김금희,문학동네,"10,800",95.0,4.0, 2016년 5월,한국,3.9814572916666666
148,소설 보다 : 겨울 2021,284703505,김멜라,문학과지성사,"3,150",5.0,4.0, 2021년 12월,한국,3.703316666666667
149,투명인간,42445860,성석제,창비,"12,600",210.0,4.5, 2014년 6월,한국,4.489193838862559
150,설이,179649906,심윤경,한겨레출판,"11,700",69.0,4.5, 2019년 1월,한국,4.467427142857143
151,더 셜리 클럽,249441091,박서련,민음사,"11,700",48.0,4.5, 2020년 8월,한국,4.453467346938775
152,놀이터는 24시,271381531,김초엽,자이언트북스,"12,600",49.0,5.0, 2021년 6월,한국,4.9443980000000005
153,태평천하,539704,채만식,문학과지성사,"8,100",28.0,4.5, 2005년 1월,한국,4.421375862068966
154,이상 소설 전집,20623619,이상,민음사,"11,700",24.0,4.5, 2012년 11월,한국,4.408796000000001
155,체공녀 강주룡,156514443,박서련,한겨레출판,"11,700",77.0,4.5, 2018년 7월,한국,4.470767948717949
156,나를 마릴린 먼로라고 하자,289253350,한정현,문학과지성사,"12,600",10.0,4.5, 2022년 2월,한국,4.292718181818182
157,우리에게 다시 사랑이,291263225,천희란,문학동네,"13,050",7.0,5.0, 2022년 3월,한국,4.6524875
158,이어달리기,289249791,조우리,한겨레출판,"12,600",27.0,5.0, 2022년 2월,한국,4.900710714285714
159,시체를 보는 사나이 1부 : 더 비기닝 1,291689552,공한K,팩토리나인,"12,420",31.0,4.5, 2022년 4월,한국,4.428746875
160,시체를 보는 사나이 1부 : 더 비기닝 2,291696102,공한K,팩토리나인,"12,420",7.0,5.0, 2022년 4월,한국,4.6524875
161,저승 최후의 날 3,291802470,시아란,안전가옥,"13,500",1.0,5.0, 2022년 3월,한국,3.60995
162,82년생 김지영,94764887,조남주,민음사,"11,700",1135.0,4.0, 2016년 10월,한국,3.9984330105633803
163,2021 제12회 젊은작가상 수상작품집,268552539,전하영,문학동네,"12,600",193.0,3.5, 2021년 4월,한국,3.4934015463917527
164,두근두근 내 인생,11905002,김애란,창비,"12,600",552.0,4.5, 2011년 6월,한국,4.49587685352622
165,달까지 가자,259678611,장류진,창비,"12,600",120.0,4.0, 2021년 4월,한국,3.985288429752066
166,연년세세,247906081,황정은,창비,"13,050",124.0,4.5, 2020년 9월,한국,4.481759200000001
167,환한 숨,265377110,조해진,문학과지성사,"12,600",45.0,5.0, 2021년 3월,한국,4.939563043478261
168,가시고백,15016771,김려령,비룡소,"11,700",135.0,4.5, 2012년 2월,한국,4.483234558823529
169,황만근은 이렇게 말했다,363224,성석제,창비,"12,600",141.0,4.0, 2002년 6월,한국,3.9874640845070424
170,새의 선물,8360846,은희경,문학동네,"13,050",85.0,4.5, 2010년 12월,한국,4.473487209302325
171,당신들의 천국,36046,이청준,문학과지성사,"10,800",84.0,4.5, 1996년 11월,한국,4.473175294117647
172,붕대 감기,225071518,윤이형,작가정신,"10,800",147.0,4.5, 2020년 1월,한국,4.484593918918919
173,소설 보다 : 가을 2021,279736609,구소현,문학과지성사,"3,150",8.0,4.0, 2021년 9월,한국,3.8022111111111108
174,유원,243194140,백온유,창비,"11,700",125.0,5.0, 2020년 6월,한국,4.977935714285715
175,곰탕 2,271374292,김영탁,arte(아르테),"13,500",35.0,4.5, 2021년 5월,한국,4.436663888888889
176,도깨비 1,100575022,김수연,알에이치코리아(RHK),"12,420",75.0,4.5, 2017년 1월,한국,4.469998684210527
