,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country
9877,한국어 수업,4700012,황은덕,화남출판사,"8,820",null,null, 2009년 10월,한국
9878,더 타이거,2368159,황규영,동아북스,"8,820",3,4.5, 2008년 7월,한국
9879,너와 나의 온도차이,1999588,윤은진,디앤씨미디어(주)(D&C미디어),"8,100",1,3, 2008년 4월,한국
9880,젊은 소설 2008,1709516,문학나무,문학나무,"10,800",2,4, 2008년 2월,한국
9881,실로 만든 달,977003,정영선,문학수첩,"8,100",1,5, 2007년 9월,한국
9882,사막의 연인,895654,이원호,반딧불이(한결미디어),"8,100",null,null, 2006년 12월,한국
9883,과학기술 창작문예 수상작품집,856774,동아사이언스,동아엠앤비,"8,100",null,null, 2006년 11월,한국
9884,아틀란티스,690313,표윤명,북웨이브,"8,820",7,4, 2006년 9월,한국
9885,나이트 골렘 9,674896,권경목,환상미디어,"7,200",1,4, 2006년 7월,한국
9886,바람 부는 성남,650712,정선교,한누리미디어,"9,000",1,5, 2006년 5월,한국
9887,아모르 파티,647021,송혜근,작가정신,"6,300",null,null, 2006년 5월,한국
9888,사람의 딸,608673,이건숙,문학나무,"9,000",null,null, 2006년 1월,한국
9889,위령 1,578750,김근우,북박스(랜덤하우스중앙),"7,200",null,null, 2005년 8월,한국
9890,가상현실,568186,김영무,답게,"6,750",null,null, 2005년 6월,한국
9891,전설을 만들어 드립니다 1,562699,하지은,서울P&B,"7,200",null,null, 2005년 5월,한국
9892,"낙서, 음화, 그리고 비총",557771,신승철,문이당,"8,550",null,null, 2005년 4월,한국
9893,그들만의 궁전,543689,한수경,동아일보사,"7,650",null,null, 2005년 2월,한국
9894,"겨울아, 겨울아",536818,김보연,아름다운날,"7,920",1,4, 2005년 1월,한국
9896,소설 사주팔자,455916,박화산,여명출판사,"7,600",null,null, 2004년 2월,한국
9897,님이 오시는가,397795,박병로,책세상,"7,200",null,null, 2003년 1월,한국
9898,원통한 남자,347355,이원영,사람의향기,"7,200",1,4, 2002년 5월,한국
9899,화요일 오후,308695,김이소,이레,"7,200",null,null, 2001년 12월,한국
9900,주머니 속의 송곳,305152,김경욱,자음과모음(이룸),"7,200",null,null, 2001년 11월,한국
9901,천손의 나라 -상,303562,정호일,우리겨레,"6,750",1,3, 2001년 11월,한국
9902,까마귀떼 그림자,289856,박상우,세계사,"7,200",null,null, 2001년 7월,한국
9903,꺽지 -상,287101,김중태,자음과모음(이룸),"6,750",null,null, 2001년 7월,한국
9904,장군의 밥상머리,275775,이상용,울림사,"6,750",null,null, 2001년 4월,한국
9905,지구를 색칠하는 페인트 공,137275,양귀자,살림,"7,200",2,4, 2001년 4월,한국
9906,섬은 울지 않는다,232714,김연,열음사,"6,750",1,4, 2000년 5월,한국
9907,모택동 비사 -상,225613,주치호,한림원,"7,200",null,null, 2000년 3월,한국
9908,다시 누군가를 만나 사랑할 수 있을까,221146,임영태,창해,"6,300",2,3.5, 2000년 2월,한국
9909,난 나야,223788,김윤영,열린,"5,850",null,null, 2000년 2월,한국
9910,참된 만남,223561,현진건,청동거울,"7,650",null,null, 2000년 1월,한국
9911,밤기차,212445,한수산,생활성서사,"5,400",null,null, 1999년 11월,한국
9912,목선,208071,한승원,문이당,"8,100",1,4, 1999년 10월,한국
9913,왼쪽 날개가 약간 무거운 새,187345,김승희,열림원,"6,300",null,null, 1999년 4월,한국
9914,양녕대군 4,532807,박종화,풀빛미디어,"6,750",null,null, 1998년 8월,한국
9915,"박씨부인전,옥낭자전,유문성전",57008,김기동,서문당,"6,300",null,null, 1994년 8월,한국
9916,풀밭에서,190380,조세희,청아출판사,"5,400",1,4, 1994년 4월,한국
9918,이범선 대표중단편선집,246078,이범선,책세상,"6,300",null,null, 1989년 8월,한국
9919,신의 뜨락에 그녀들의 자리는 없다,289809208,이정연,정은출판,"12,330",3,5, 2022년 2월,한국
9920,호라이즌 연대기 1,289519548,김케빈,부크크(bookk),"15,900",null,null, 2022년 2월,한국
9921,코코아 마시며 써봤습니다,289172546,DAL:DA,부크크(bookk),"13,600",null,null, 2022년 2월,한국
9922,[큰글씨책] 달 너머로 달리는 말,286932181,김훈,파람북,"29,000",null,null, 2022년 1월,한국
9923,개체 인간,285926239,원윤서,렛츠북,"10,800",null,null, 2022년 1월,한국
9924,현덕 단편집,281457120,현덕,지만지(지식을만드는지식),"15,200",null,null, 2021년 10월,한국
9925,제주랩소디,281372304,강준,황금알,"15,000",null,null, 2021년 10월,한국
9926,약편 선도체험기 11,281415764,김태영,글터,"20,000",null,null, 2021년 9월,한국
9927,[큰글자도서] 부서진 여름,281435689,이정명,은행나무,"40,000",null,null, 2021년 9월,한국
9928,반출잡문,278389530,김혜린,아름다움,"10,800",null,null, 2021년 8월,한국
