,분식,일식&돈까스,족발&보쌈,중국집,치킨,피자&양식,한식
아그라-합정점,0,0,0,0,0,1,0
빅스타피자-망원서교점,0,0,0,0,0,1,0
아노브피자-연남점,0,0,0,0,0,1,0
써브웨이-상암DMC푸르지오시티점,0,0,0,0,0,1,0
김준현의피자헤븐-신촌점,0,0,0,0,0,1,0
더그리니치,0,0,0,0,0,1,0
NAMJAPIZZA&SPAGHETTI,0,0,0,0,0,1,0
스푼필라프-홍대점,0,0,0,0,0,1,0
커스텀샐러드-연남본점,0,0,0,0,0,1,0
비스트로피자-마포점,0,0,0,0,0,1,0
써브웨이-망원역점,0,0,0,0,0,1,0
애슐리딜리버리-신촌점,0,0,0,0,0,1,0
옐로우피자-연남점,0,0,0,0,0,1,0
서오릉피자-서교점,0,0,0,0,0,1,0
리미니-홍대점,0,0,0,0,0,1,0
애슐리딜리버리-홈뷔페홍대점,0,0,0,0,0,1,0
OK피자시즌2,0,0,0,0,0,1,0
"와인레스토랑,오아시스망원",0,0,0,0,0,1,0
갓피맥-상암점,0,0,0,0,0,1,0
와인&파스타 블랑누아,0,0,0,0,0,1,0
헬로피자,0,0,0,0,0,1,0
킬러피자,0,0,0,0,0,1,0
하노이의아침-연희점,0,0,0,0,0,1,0
뉴욕피자,0,0,0,0,0,1,0
동교삼겹,0,0,0,0,0,0,1
USA존슨부대찌개-수색점,0,0,0,0,0,0,1
상수상회,0,0,0,0,0,0,1
명도찜닭-마포점,0,0,0,0,0,0,1
오지게먹게-서교동점,0,0,0,0,0,0,1
대왕전전문홍대달동네,0,0,0,0,0,0,1
장모님이떴다-홍대점,0,0,0,0,0,0,1
이가네꼬막비빔밥&순살게장비빔밥,0,0,0,0,0,0,1
한촌설렁탕-상암점,0,0,0,0,0,0,1
연남해장국,0,0,0,0,0,0,1
국내산1등고기삼육공,0,0,0,0,0,0,1
미스포쌀국수&월남쌈,0,0,0,0,0,0,1
본래순대-상암MBC점,0,0,0,0,0,0,1
대한아구&해물찜,0,0,0,0,0,0,1
연남동잠깐,0,0,0,0,0,0,1
1인찌개와탕&냉면,0,0,0,0,0,0,1
행복왕갈비,0,0,0,0,0,0,1
죽이요-서울상암점,0,0,0,0,0,0,1
메리킹-본점,0,0,0,0,0,0,1
5인삼겹살곱창,0,0,0,0,0,0,1
정가네석쇠불고기,0,0,0,0,0,0,1
하회안동찜닭-신촌점,0,0,0,0,0,0,1
육회먹는날,0,0,0,0,0,0,1
구삼짜글이-마포점,0,0,0,0,0,0,1
전주현대옥-홍대점,0,0,0,0,0,0,1
쭌곱창,0,0,0,0,0,0,1
진심을담아내다고기장인-서교점,0,0,0,0,0,0,1
