id,sweet,acidity,body,tannin,type
152343,1.0,5.0,4.0,1.0,3.0
143456,1.0,5.0,2.0,1.0,2.0
154880,1.0,4.0,3.0,3.0,1.0
166616,1.0,3.0,2.0,1.0,2.0
165154,1.0,3.0,3.0,3.0,1.0
149427,1.0,3.0,4.0,3.0,1.0
145955,1.0,3.0,4.0,3.0,1.0
167347,1.0,5.0,4.0,1.0,2.0
157086,1.0,3.0,3.0,1.0,2.0
158180,1.0,4.0,3.0,1.0,2.0
139488,1.0,4.0,3.0,3.0,1.0
146263,1.0,4.0,5.0,4.0,1.0
166717,1.0,5.0,5.0,5.0,1.0
137955,1.0,4.0,4.0,3.0,1.0
166858,1.0,4.0,3.0,3.0,1.0
165316,1.0,3.0,4.0,4.0,1.0
141409,1.0,3.0,5.0,4.0,1.0
137483,1.0,4.0,2.0,2.0,1.0
166998,1.0,4.0,5.0,5.0,1.0
166018,1.0,3.0,3.0,1.0,2.0
144540,1.0,4.0,3.0,3.0,1.0
149594,1.0,3.0,3.0,1.0,2.0
154128,1.0,4.0,4.0,4.0,1.0
158445,1.0,3.0,3.0,3.0,1.0
167479,1.0,4.0,3.0,1.0,2.0
146887,1.0,3.0,3.0,3.0,1.0
147129,1.0,3.0,2.0,1.0,2.0
144420,1.0,4.0,3.0,2.0,1.0
137212,1.0,4.0,3.0,3.0,1.0
163167,1.0,4.0,5.0,5.0,1.0
155622,1.0,4.0,3.0,1.0,2.0
150395,1.0,4.0,4.0,2.0,1.0
167345,1.0,4.0,3.0,1.0,2.0
162293,1.0,4.0,5.0,5.0,1.0
160951,1.0,3.0,3.0,3.0,1.0
140005,1.0,3.0,3.0,3.0,1.0
166986,1.0,3.0,3.0,2.0,1.0
145489,1.0,3.0,4.0,4.0,1.0
163741,1.0,3.0,4.0,3.0,1.0
148393,1.0,3.0,3.0,3.0,1.0
154043,1.0,3.0,3.0,3.0,1.0
166386,1.0,3.0,2.0,1.0,2.0
139899,1.0,4.0,3.0,3.0,1.0
148934,1.0,4.0,3.0,2.0,1.0
152442,1.0,4.0,3.0,3.0,1.0
148979,1.0,5.0,3.0,3.0,1.0
163731,1.0,3.0,4.0,4.0,1.0
149589,1.0,3.0,2.0,2.0,1.0
166169,1.0,3.0,5.0,4.0,1.0
145899,1.0,4.0,4.0,4.0,1.0
154355,1.0,3.0,5.0,4.0,1.0
150541,1.0,3.0,3.0,3.0,1.0
167210,1.0,4.0,4.0,3.0,1.0
146071,1.0,2.0,3.0,4.0,1.0
166560,1.0,3.0,3.0,3.0,1.0
149165,1.0,5.0,2.0,2.0,1.0
162681,1.0,3.0,3.0,3.0,1.0
162862,1.0,4.0,3.0,1.0,2.0
141732,1.0,4.0,2.0,2.0,1.0
155491,1.0,4.0,4.0,4.0,1.0
155796,1.0,4.0,2.0,1.0,2.0
147152,1.0,4.0,5.0,4.0,1.0
165785,1.0,2.0,3.0,3.0,1.0
145986,1.0,3.0,3.0,1.0,2.0
139743,1.0,3.0,4.0,4.0,1.0
168587,1.0,5.0,2.0,1.0,3.0
140571,1.0,3.0,3.0,1.0,2.0
148360,1.0,3.0,3.0,1.0,2.0
149717,1.0,3.0,3.0,4.0,1.0
143368,1.0,3.0,2.0,1.0,2.0
154367,1.0,3.0,3.0,2.0,1.0
